Ticker;Code;Type;Theoretical Quantity;Part
ALPA4;ALPARGATAS;PN      N1;167.963.777;0,367;
ABEV3;AMBEV S/A;ON;4.358.814.864;3,082;
AMER3;AMERICANAS;ON      NM;546.064.815;0,856;
ASAI3;ASSAI;ON  EJ  NM;794.116.430;0,641;
AZUL4;AZUL;PN      N2;327.741.172;0,533;
B3SA3;B3;ON      NM;6.079.530.858;3,421;
BIDI4;BANCO INTER;PN      N2;186.303.277;0,131;
BIDI11;BANCO INTER;UNT     N2;477.617.336;0,995;
BPAN4;BANCO PAN;PN      N1;341.124.068;0,229;
BBSE3;BBSEGURIDADE;ON      NM;671.629.692;0,636;
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,325;
BBDC3;BRADESCO;ON  EJ  N1;1.378.842.305;1,125;
BBDC4;BRADESCO;PN  EJ  N1;4.691.427.537;4,455;
BRAP4;BRADESPAR;PN      N1;251.426.773;0,638;
BBAS3;BRASIL;ON      NM;1.420.530.937;2,025;
BRKM5;BRASKEM;PNA     N1;264.642.296;0,694;
BRFS3;BRF SA;ON      NM;811.759.800;1,000;
BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;1,455;
CRFB3;CARREFOUR BR;ON      NM;410.988.561;0,343;
CCRO3;CCR SA;ON      NM;1.115.693.556;0,632;
CMIG4;CEMIG;PN      N1;1.114.214.662;0,754;
CIEL3;CIELO;ON      NM;1.144.359.228;0,133;
COGN3;COGNA ON;ON      NM;1.847.994.874;0,254;
CPLE6;COPEL;PNB EDJ N1;1.563.365.506;0,470;
CSAN3;COSAN;ON      NM;1.169.237.744;1,237;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,226;
CVCB3;CVC BRASIL;ON      NM;224.571.661;0,203;
CYRE3;CYRELA REALT;ON      NM;281.609.283;0,231;
DXCO3;DEXCO;ON      NM;272.062.873;0,229;
ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,150;
ELET3;ELETROBRAS;ON      N1;358.028.908;0,649;
ELET6;ELETROBRAS;PNB     N1;242.987.127;0,440;
EMBR3;EMBRAER;ON      NM;734.558.205;0,885;
ENBR3;ENERGIAS BR;ON      NM;231.489.471;0,200;
ENGI11;ENERGISA;UNT     N2;248.542.219;0,522;
ENEV3;ENEVA;ON      NM;1.261.568.398;0,883;
EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0,450;
EQTL3;EQUATORIAL;ON      NM;1.010.511.085;1,149;
EZTC3;EZTEC;ON      NM;101.618.236;0,111;
FLRY3;FLEURY;ON      NM;303.005.900;0,299;
GGBR4;GERDAU;PN      N1;1.097.534.498;1,383;
GOAU4;GERDAU MET;PN      N1;698.275.321;0,406;
GOLL4;GOL;PN      N2;167.095.214;0,155;
NTCO3;GRUPO NATURA;ON      NM;843.870.809;1,707;
SOMA3;GRUPO SOMA;ON      NM;421.176.954;0,319;
HAPV3;HAPVIDA;ON      NM;1.306.939.210;0,782;
HYPE3;HYPERA;ON      NM;411.803.359;0,562;
IGTA3;IGUATEMI;ON      NM;85.748.277;0,129;
GNDI3;INTERMEDICA;ON      NM;592.114.608;1,979;
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,291;
ITSA4;ITAUSA;PN      N1;4.515.559.175;2,336;
ITUB4;ITAUUNIBANCO;PN  EDC N1;4.780.002.924;5,373;
JBSS3;JBS;ON      NM;1.346.828.080;2,350;
JHSF3;JHSF PART;ON      NM;305.915.142;0,084;
KLBN11;KLABIN S/A;UNT     N2;812.994.397;0,858;
RENT3;LOCALIZA;ON      NM;593.944.309;1,506;
LCAM3;LOCAMERICA;ON      NM;324.522.975;0,363;
LWSA3;LOCAWEB;ON      NM;431.783.548;0,431;
LAME4;LOJAS AMERIC;PN      N1;853.524.256;0,198;
LREN3;LOJAS RENNER;ON      NM;889.725.318;1,399;
MGLU3;MAGAZ LUIZA;ON      NM;2.820.185.158;1,881;
MRFG3;MARFRIG;ON      NM;348.234.011;0,426;
CASH3;MELIUZ;ON      NM;543.488.802;0,135;
BEEF3;MINERVA;ON      NM;242.962.308;0,124;
MRVE3;MRV;ON      NM;294.643.879;0,165;
MULT3;MULTIPLAN;ON      N2;273.506.645;0,253;
PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0,189;
PETR3;PETROBRAS;ON      N2;3.426.385.188;4,732;
PETR4;PETROBRAS;PN      N2;4.566.511.125;6,211;
BRDT3;PETROBRAS BR;ON      NM;1.164.602.565;1,340;
PRIO3;PETRORIO;ON      NM;839.159.130;1,081;
PETZ3;PETZ;ON      NM;258.407.844;0,264;
QUAL3;QUALICORP;ON      NM;283.670.037;0,249;
RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,099;
RDOR3;REDE D OR;ON      NM;320.214.380;0,961;
RAIL3;RUMO S.A.;ON      NM;1.216.056.103;1,025;
SBSP3;SABESP;ON      NM;340.001.934;0,599;
SANB11;SANTANDER BR;UNT;362.703.399;0,604;
CSNA3;SID NACIONAL;ON;642.398.790;0,838;
SULA11;SUL AMERICA;UNT     N2;284.771.028;0,332;
SUZB3;SUZANO S.A.;ON      NM;726.779.281;1,692;
TAEE11;TAESA;UNT     N2;218.568.234;0,371;
VIVT3;TELEF BRASIL;ON  EJ;443.933.052;0,933;
TIMS3;TIM;ON      NM;808.619.532;0,454;
TOTS3;TOTVS;ON      NM;520.230.677;0,822;
UGPA3;ULTRAPAR;ON  ES  NM;1.084.337.016;0,748;
USIM5;USIMINAS;PNA     N1;514.680.651;0,395;
VALE3;VALE;ON      NM;3.380.233.503;12,799;
VIIA3;VIA;ON      NM;1.595.895.585;0,586;
WEGE3;WEG;ON      NM;1.484.859.030;2,660;
YDUQ3;YDUQS PART;ON      NM;300.833.122;0,363;
Quantidade Te�rica Total;;;91.603.056.188;100,000
Redutor;;;19.215.935,46282777
